probe;scans;detectors;opening;RMSE;time
Kropka;90;180;180;25.563550956391015;22.33251667022705
Kropka;180;180;180;19.330703718437153;41.96513867378235
Kropka;270;180;180;18.07967436100551;62.62889790534973
Kropka;360;180;180;14.60683594246201;86.12835597991943
Kropka;450;180;180;14.800516038300827;104.55499267578125
Kropka;540;180;180;14.348316538883578;124.25382828712463
Kropka;630;180;180;13.918015079385421;145.18384194374084
Kropka;720;180;180;13.334076645947405;166.8965859413147
Kropka;180;90;180;22.31265055971612;21.351415634155273
Kropka;180;180;180;19.330703718437153;43.65374207496643
Kropka;180;270;180;19.496322730197097;64.33953332901001
Kropka;180;360;180;20.946633082669873;82.82220721244812
Kropka;180;450;180;22.02944563533091;103.24373316764832
Kropka;180;540;180;22.590293822790354;123.74033832550049
Kropka;180;630;180;22.93743896449645;145.1127369403839
Kropka;180;720;180;23.30336711185746;164.838618516922
Kropka;180;180;45;24.195443656812742;46.88284111022949
Kropka;180;180;90;21.076781656600232;45.86784052848816
Kropka;180;180;135;19.462292709236493;44.28035306930542
Kropka;180;180;180;19.330703718437153;41.79697871208191
Kropka;180;180;225;21.016405645352396;38.266589879989624
Kropka;180;180;270;22.897093019638977;34.65213418006897
